Prefix,DisplayName,Authors,BitcoinAddress,SpecificationUrl
0x00000010,Tokeda,Joannes Vermorel,bitcoincash:qr2ymruqe22fcmg350652d3yuuk49hpqyg3j56ktrl,http://media.lokad.com/bitcoin/tokeda-2018-04-30.pdf
0x00000020,Tokenized,James Belding,bitcoincash:qq3u936pc036nyzcc2rlt280nfnk0857dc3u5vfg6y,http://tokenized.cash/
0x000015B3,Satchat,Duc Nguyen,bitcoincash:qzymdkshczgdda0xekhl65knxl9les7cmcuxcmlqee,http://satchat.io/
0x000022B8,Turingnote,John Patterson,bitcoincash:qrkx43sa9cal4ylmw70uwcu09qzqfq5pxcs6sp4aaf,http://turingnote.io
0x0000544C,TradeLayer,Patrick Dugan,bitcoincash:qrcwrfg5q88dpwtjvnu53dwxjj686mmrk5nfd8zhgd,http://tradelayer.org
0x00534c50,SimpleLedger,James Cramer,bitcoincash:qp67zr6c40hfh6jjva4admhnqfk5ndudmy3xelav90,http://simpleledger.cash/
0x00555354,UniSOT,Stephan Nilsson,bitcoincash:qq8f2kk556x5hhdhr6fqnfdsy020yecs4y00thetwk,http://unisot.io/ust
0x00584350,Counterparty Cash,Counterparty Cash Association (CCA),bitcoincash:qprul4s8shr0d9sflfqtjv5y4esgg4k2dcz0eyvscy,https://counterparty.cash
0x00746C6B,Toku,Atlantis Labs,bitcoincash:qqwu44phefrlfy56f488hj497lsrhmwq55jw9x820f,https://atlantislabs.co/toku
0x008080C0,BCH-DNS,@bchdns,bitcoincash:qreeeeuwd94h4dealrh0kke2wetymzds2q74xatsnt,https://bch.sx
0x054c5638,TokenGroups,Bitcoin Unlimited,bitcoincash:pq6snv5fcx2fp6dlzg7s0m9zs8yqh74335tzvvfcmq,
